id,address_type,status,entity,number_street,apt_number,city,postal_code,country,notes
174,Home,Inactive,Customer,536 Becker Point,100,Washington,20508,United States,nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra
175,Billing,Active,Building,35 Drewry Alley,88,Mobile,36670,United States,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia
176,Billing,Active,Building,8491 Colorado Trail,46,Saskatoon,S7W,Canada,quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse
177,Shipping,Active,Building,877 Dakota Point,97,Hollywood,33023,United States,faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio
178,Billing,Inactive,Building,30753 Ludington Junction,4,Smoky Lake,N8V,Canada,elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis
179,Home,Inactive,Building,1005 Hallows Road,78,Fort Worth,76121,United States,pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in
180,Shipping,Active,Building,79414 Stone Corner Court,2,Gary,46406,United States,sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede
181,Billing,Inactive,Customer,46606 Lighthouse Bay Circle,100,Atlanta,30328,United States,interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique tortor
182,Billing,Active,Building,2 Nova Lane,65,Greeley,80638,United States,luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis
183,Billing,Active,Building,77 Heath Road,61,Portland,97296,United States,pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra
184,Shipping,Active,Customer,95527 Bayside Junction,85,Cincinnati,45208,United States,elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis
185,Shipping,Active,Building,9 Dennis Center,90,Nanton,L5M,Canada,donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non
186,Home,Inactive,Building,05 Cherokee Street,66,Fort Erie,L2A,Canada,felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis
187,Home,Active,Building,022 Park Meadow Alley,23,Newark,07195,United States,nulla neque libero convallis eget eleifend luctus ultricies eu nibh
188,Home,Active,Customer,7496 Sauthoff Street,34,Philadelphia,19125,United States,sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at
189,Billing,Active,Customer,2 Bonner Road,8,Minneapolis,55470,United States,vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac
190,Billing,Active,Building,60043 Schiller Parkway,80,Cookshire-Eaton,M4C,Canada,nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel
191,Billing,Active,Building,158 Hansons Parkway,47,El Paso,79940,United States,volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis
192,Home,Active,Building,6911 Eliot Parkway,22,Seattle,98175,United States,potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus
193,Shipping,Active,Building,5857 Mosinee Avenue,34,Los Angeles,90040,United States,ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla
194,Billing,Active,Customer,516 Loftsgordon Lane,72,Dallas,75277,United States,ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae
195,Home,Active,Customer,0174 Briar Crest Court,41,Duncan,V9L,Canada,in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes
196,Shipping,Inactive,Customer,72 Mccormick Park,36,Columbia,29220,United States,tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc
197,Shipping,Active,Building,6 Bluejay Road,87,Lorraine,J7B,Canada,morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam
198,Home,Inactive,Building,7144 Springs Drive,5,Wolfville,B4P,Canada,tortor risus dapibus augue vel accumsan tellus nisi eu orci
199,Home,Active,Building,05094 Waxwing Hill,72,Toledo,43635,United States,erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper
200,Home,Inactive,Building,1184 Badeau Street,76,Pittsburgh,15286,United States,sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas
201,Billing,Active,Building,60043 Schiller Parkway,80,Cookshire-Eaton,M4C,Canada,nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel
202,Billing,Active,Building,158 Hansons Parkway,47,El Paso,79940,United States,volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis
203,Home,Active,Building,6911 Eliot Parkway,22,Seattle,98175,United States,potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus
204,Shipping,Active,Building,5857 Mosinee Avenue,34,Los Angeles,90040,United States,ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla
205,Billing,Active,Customer,516 Loftsgordon Lane,72,Dallas,75277,United States,ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae
206,Home,Active,Customer,0174 Briar Crest Court,41,Duncan,V9L,Canada,in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes
207,Shipping,Inactive,Customer,72 Mccormick Park,36,Columbia,29220,United States,tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc
208,Shipping,Active,Building,6 Bluejay Road,87,Lorraine,J7B,Canada,morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam
209,Home,Inactive,Building,7144 Springs Drive,5,Wolfville,B4P,Canada,tortor risus dapibus augue vel accumsan tellus nisi eu orci
210,Home,Active,Building,05094 Waxwing Hill,72,Toledo,43635,United States,erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper
211,Home,Inactive,Building,1184 Badeau Street,76,Pittsburgh,15286,United States,sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas
